name,address,age,email,amount_spent
Tanya Wright,"88308 Shannon Islands
Calebmouth, SC 24321",62,shannonspencer@example.com,766.82
Tamara Wright,"6863 Perez Locks Apt. 498
Allenhaven, OH 36599",49,mackenzie33@example.net,393.36
Ronald Cole,"9248 David Causeway
Dannyton, DC 36845",35,oroberts@example.net,732.3
Richard Hansen,"858 Randall Lodge
Gonzalesborough, TX 24587",54,hrobbins@example.net,511.16
Robert Thomas,"81652 John Course
South Elizabeth, IA 40090",31,austin78@example.org,492.43
Travis King,"2786 Alyssa Road Suite 101
North Susan, RI 73442",28,jacksondennis@example.net,279.08
Tammy Alvarez,"8658 Reginald Shoals
Rebeccafort, SC 55771",41,kperez@example.net,722.68
Bruce Brown,"84955 Joshua Coves Apt. 440
Harrisonburgh, NE 75368",26,amanda96@example.org,821.35
Sharon King,"84324 Ethan Estates Apt. 370
Anitaside, IA 19161",42,jonesgregory@example.org,751.08
Carlos Bradley,"749 Lambert Cliffs Apt. 339
Port Ericmouth, DE 51659",25,tuckerkaren@example.net,534.8
Katie Baker,"337 Jesus Square
Rodneyton, VI 41909",30,pmora@example.com,423.42
Michael Reid,"04377 David Center
Lindseyport, MI 77442",21,wisetravis@example.com,617.35
Christopher Elliott,"704 James Island
Port John, IL 65619",49,matthew73@example.com,814.37
Nathan Moore,"35147 Buck Burg
West Davidchester, KY 24630",36,paulallen@example.net,635.74
Cynthia Ford,"292 Amy Row Apt. 576
Port Timothy, PA 33486",52,anthony19@example.net,589.19
